,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015春,0.057091882247992866,0.05084745762711865,0.01873327386262266,0.011150758251561105,0.028991971454058876,0.005798394290811775,0.02230151650312221,0.007136485280999108,0.042818911685994644,0.14451382694023193,0.1480820695807315,0.015611061552185548,0.032114183764495985,0.043264942016057094,0.05976806422836753,0.04014272970561998,0.04861730597680642,0.19625334522747548,0.02007136485280999,0.006690454950936664
2015夏,0.052122740647330815,0.07818411097099622,0.015973097940311057,0.013030685161832704,0.031946195880622114,0.003362757461118117,0.023539302227826818,0.01092896174863388,0.036990332072299285,0.15090374106767548,0.13240857503152584,0.011769651113913409,0.03488860865910046,0.05170239596469105,0.05842791088692728,0.042454812946616224,0.05380411937788987,0.16435477091214795,0.02269861286254729,0.010508617065994116
2015秋,0.03442879499217527,0.08176838810641628,0.018388106416275432,0.017214397496087636,0.023474178403755867,0.005477308294209703,0.019561815336463225,0.013302034428794992,0.045774647887323945,0.19405320813771518,0.11032863849765258,0.013302034428794992,0.03834115805946792,0.08959311424100157,0.04225352112676056,0.037949921752738654,0.03990610328638498,0.12754303599374023,0.036384976525821594,0.010954616588419406
2015冬,0.02761826633852885,0.039649986327590925,0.019961717254580257,0.016680339075745145,0.02378999179655455,0.012031719989062073,0.013125512715340444,0.02023516543614985,0.046486190866830736,0.14465408805031446,0.11348099535138091,0.01066447908121411,0.05086136177194422,0.14793546622914958,0.04238446814328685,0.035821711785616626,0.039103089964451734,0.11812961443806398,0.06808859721082855,0.009297238173366147
2016春,0.05252626313156578,0.054527263631815905,0.025512756378189096,0.015007503751875938,0.03551775887943972,0.0050025012506253125,0.01950975487743872,0.004502251125562781,0.05502751375687844,0.17708854427213608,0.14807403701850924,0.01150575287643822,0.029514757378689346,0.03951975987993997,0.05552776388194097,0.030015007503751877,0.04302151075537769,0.1695847923961981,0.017508754377188594,0.01150575287643822
2016夏,0.05406373075546008,0.08915145005370569,0.02040816326530612,0.016827783745076978,0.02434658073755818,0.005728607232366631,0.019692087361260293,0.010741138560687433,0.04296455424274973,0.16827783745076977,0.1335481561045471,0.014321518080916577,0.03580379520229144,0.05656999641962048,0.055853920515574654,0.039026136770497676,0.033655567490153956,0.13712853562477623,0.02828499820981024,0.013605442176870748
2016秋,0.03627311522048364,0.08428165007112376,0.02453769559032717,0.030938833570412518,0.022048364153627313,0.009246088193456615,0.017780938833570414,0.018847795163584636,0.04338549075391181,0.17994310099573257,0.10099573257467995,0.012446657183499289,0.03627311522048364,0.077524893314367,0.043741109530583216,0.042318634423897585,0.03556187766714083,0.12126600284495022,0.04694167852062589,0.015647226173541962
2016冬,0.02611625947767481,0.04184217916315642,0.02246559955068801,0.019938219601235607,0.023869699522606008,0.010109519797809604,0.012356079752878404,0.02358887952822241,0.04998595900028082,0.13170457736590846,0.10895815782083684,0.010109519797809604,0.04914349901713002,0.16764953664700927,0.037910699241786014,0.03173265936534681,0.03538331929233361,0.10951979780960404,0.07554057848918844,0.012075259758494805
2017春,0.050222762251923854,0.05062778452814905,0.024301336573511544,0.014175779667881734,0.023086269744835967,0.008910490076954233,0.02227622519238558,0.009720534629404616,0.06115836371000405,0.1587687322802754,0.1377075739165654,0.014985824220332119,0.043337383556095586,0.042122316727420006,0.04495747266099635,0.03928716079384366,0.04738760631834751,0.16889428918590524,0.02025111381125962,0.017820980153908466
2017夏,0.04420432220039293,0.07956777996070727,0.02136542239685658,0.030206286836935166,0.02775049115913556,0.0036836935166994107,0.02136542239685658,0.011296660117878193,0.04567779960707269,0.1598722986247544,0.11149312377210216,0.012033398821218075,0.03339882121807466,0.05279960707269155,0.05083497053045186,0.04273084479371316,0.043713163064833006,0.16355599214145383,0.027996070726915522,0.016453831041257368
2017秋,0.03166704365528161,0.08188192716579959,0.01854783985523637,0.02194073738973083,0.023297896403528612,0.006785795068988917,0.020357385206966748,0.014928749151775616,0.04953630400361909,0.17982356932820628,0.09997738068310337,0.013345396969011537,0.03754806604840534,0.08301289301063108,0.044560054286360555,0.03890522506220312,0.03935761140013572,0.13254919701425016,0.04410766794842796,0.017869260348337482
2017冬,0.0240373914978856,0.0360560872468284,0.02314711773870465,0.02092143334075228,0.02270198085911418,0.008457600712219007,0.00890273759180948,0.02270198085911418,0.05875806810594258,0.12530603160471845,0.10438459826396616,0.016247496105052304,0.052971288671266416,0.17115513020253728,0.03894947696416648,0.027153349655018918,0.03917204540396172,0.10527487202314711,0.0745604273314044,0.019140885822390385
